step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
698,7,12.18,3.0,1,Low,Medium,Medium
699,9,9.62,4.0,3,Low,Medium,Medium
700,9,10.57,5.0,1,Low,Medium,Medium
701,9,11.32,6.0,1,Low,Medium,Medium
702,9,10.52,0.0,1,Low,Medium,Medium
703,8,11.84,0.0,0,Low,Medium,Medium
704,8,12.44,0.0,0,Low,Medium,Medium
705,8,10.38,0.0,1,Low,Medium,Medium
706,6,11.49,0.0,0,Low,Medium,Medium
707,6,12.29,0.0,0,Low,Medium,Medium
708,7,10.08,0.0,1,Low,Medium,Medium
709,7,10.57,0.0,0,Low,Medium,Medium
710,6,11.84,0.0,0,Low,Medium,Medium
711,7,10.46,0.0,1,Low,Medium,Medium
712,7,10.5,1.0,1,Low,Medium,Medium
713,7,10.79,2.0,1,Low,Medium,Medium
714,8,10.33,3.0,2,Low,Medium,Medium
715,8,11.52,4.0,1,Low,Medium,Medium
716,9,11.47,5.0,2,Low,Medium,Medium
717,10,11.3,7.0,3,Low,Medium,Low
718,9,12.45,7.0,1,Low,Medium,Medium
719,9,13.61,8.0,1,Low,Medium,Medium
720,10,12.91,0.0,1,Low,Medium,Medium
721,10,14.11,0.0,0,Low,Medium,Medium
722,10,15.36,0.0,0,Low,Low,Medium
723,11,14.78,0.0,1,Low,Medium,Medium
724,9,13.13,1.0,1,Low,Medium,Medium
725,9,12.68,0.0,0,Low,Medium,Medium
726,9,12.53,0.0,1,Low,Medium,Medium
727,9,13.1,0.0,0,Low,Medium,Medium
728,9,13.6,1.0,1,Low,Medium,Medium
729,9,14.11,2.0,2,Low,Medium,Medium
730,8,11.93,3.0,1,Low,Medium,Medium
731,8,11.86,4.0,1,Low,Medium,Medium
732,9,10.57,5.0,2,Low,Medium,Medium
733,9,11.05,6.0,1,Low,Medium,Medium
734,9,11.0,8.0,2,Low,Medium,Medium
735,9,11.71,0.0,0,Low,Medium,Medium
736,7,11.7,0.0,0,Low,Medium,Medium
737,6,14.23,0.0,0,Low,Medium,Low
738,6,12.88,0.0,2,Low,Medium,Low
739,6,13.62,0.0,0,Low,Medium,Medium
740,6,14.55,0.0,0,Low,Medium,Medium
741,7,13.12,0.0,1,Low,Medium,Medium
742,6,15.42,0.0,0,Low,Low,Medium
743,6,15.52,0.0,0,Low,Low,Medium
744,7,13.33,0.0,1,Low,Medium,Medium
745,7,14.02,0.0,0,Low,Medium,Medium
746,7,13.87,0.0,0,Low,Medium,Medium
747,7,13.35,0.0,1,Low,Medium,Medium
748,7,12.98,1.0,1,Low,Medium,Medium
749,7,13.21,2.0,1,Low,Medium,Medium
750,7,11.94,3.0,1,Low,Medium,Medium
751,7,11.34,4.0,1,Low,Medium,Medium
752,7,10.78,5.0,1,Low,Medium,Medium
753,7,9.32,6.0,2,Low,Medium,Medium
754,7,9.57,8.0,2,Low,Medium,Medium
755,8,8.28,8.0,2,Low,Medium,Medium
756,9,7.11,10.0,3,Low,Medium,Medium
757,8,8.15,11.0,2,Low,Medium,Medium
758,7,9.25,13.0,2,Low,Medium,Medium
759,8,8.41,15.0,3,Low,Medium,Medium
760,7,8.2,17.0,2,Low,Medium,Medium
761,7,8.76,19.0,2,Low,Medium,Medium
762,8,8.61,21.0,3,Low,Medium,Medium
763,7,9.54,23.0,2,Low,Medium,Medium
764,7,10.3,25.0,2,Low,Medium,Medium
765,8,9.12,27.0,3,Low,Medium,Medium
766,7,7.6,30.0,3,Low,Medium,Medium
767,7,7.84,33.0,3,Low,Medium,Medium
768,8,7.28,33.0,3,Low,Medium,Medium
769,8,7.24,35.0,2,Low,Medium,Medium
770,8,6.56,38.0,3,Low,Medium,Medium
771,8,5.99,41.0,4,Low,Medium,Medium
772,8,5.79,44.0,3,Low,Medium,High
773,8,6.18,47.0,3,Low,Medium,Medium
774,9,6.15,50.0,4,Low,Medium,High
775,9,5.89,53.0,3,Low,Medium,High
776,8,5.01,56.0,3,Low,Medium,High
777,9,4.77,59.0,4,Low,High,High
778,9,5.76,62.0,3,Low,Medium,High
779,7,2.85,65.0,3,Low,High,High
780,8,2.97,68.0,4,Low,High,High
781,8,2.75,71.0,3,Low,High,High
782,8,2.1,74.0,3,Low,High,High
783,9,2.08,42.0,4,Low,High,High
784,8,2.69,2.0,1,Low,High,High
785,8,2.98,1.0,1,Low,High,High
786,9,3.12,0.0,1,Low,High,Medium
787,9,3.66,0.0,0,Low,High,Medium
788,8,3.92,0.0,0,Low,High,Medium
789,8,3.96,0.0,1,Low,High,Medium
790,8,4.32,0.0,0,Low,High,Medium
791,8,5.95,0.0,0,Low,Medium,Medium
792,9,6.31,0.0,1,Low,Medium,Medium
793,8,7.19,0.0,0,Low,Medium,Medium
794,8,8.39,0.0,0,Low,Medium,Medium
795,9,8.38,0.0,1,Low,Medium,Medium
796,8,8.51,0.0,0,Low,Medium,Medium
797,8,9.49,1.0,1,Low,Medium,Medium
798,9,9.31,2.0,2,Low,Medium,Medium
799,9,10.22,3.0,1,Low,Medium,Medium
800,8,11.45,4.0,1,Low,Medium,Medium
801,9,10.66,0.0,1,Low,Medium,Medium
802,9,11.04,0.0,0,Low,Medium,Medium
